               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048603,            0.021898,            0.055773,             0.17101,             0.13457,             0.14737,            0.089303,            0.021019,           0.0071057,            0.037365,            0.070011,           0.0033321,           0.0033321
                   1,            0.033538,            0.018994,             0.04888,              0.2839,             0.38804,             0.32231,             0.18942,            0.020598,             0.00608,            0.028356,            0.039989,           0.0066434,           0.0066434
                   2,            0.032816,            0.018164,            0.041416,             0.74391,             0.36749,             0.41319,             0.21018,            0.021506,           0.0071873,             0.02255,            0.009945,           0.0099328,           0.0099328
                   3,            0.030797,            0.018297,            0.036533,             0.46814,             0.55579,             0.51799,             0.30257,            0.019338,            0.016311,            0.018167,            0.009901,            0.009901,            0.009901
                   4,            0.029042,            0.017899,            0.033142,             0.62829,             0.51532,             0.55389,             0.31585,             0.01947,           0.0073763,            0.016135,            0.009901,            0.009901,            0.009901
                   5,            0.027743,            0.017544,            0.030563,             0.69067,               0.469,             0.52762,             0.29448,            0.021804,           0.0096093,            0.014921,            0.009868,            0.009868,            0.009868
                   6,            0.027368,            0.017658,            0.028884,             0.48872,              0.6422,             0.58137,             0.34304,            0.019853,            0.010692,            0.012762,            0.009835,            0.009835,            0.009835
                   7,            0.026665,            0.017098,            0.027266,              0.5857,               0.661,             0.67681,             0.39565,            0.019131,           0.0068156,            0.011441,            0.009802,            0.009802,            0.009802
                   8,            0.026434,            0.016997,            0.025829,             0.52035,             0.71674,             0.66888,             0.40801,            0.018879,           0.0082307,            0.010912,            0.009769,            0.009769,            0.009769
                   9,             0.02609,             0.01681,            0.024642,             0.62874,             0.73523,              0.7354,             0.45558,            0.018334,           0.0085138,            0.009285,            0.009736,            0.009736,            0.009736
                  10,            0.025975,             0.01718,            0.023372,             0.66562,             0.72435,              0.7505,              0.4595,            0.018573,           0.0063944,           0.0081964,            0.009703,            0.009703,            0.009703
                  11,            0.025361,            0.017023,            0.022637,             0.70618,             0.73855,             0.77656,             0.48681,            0.017726,           0.0062227,            0.007866,             0.00967,             0.00967,             0.00967
                  12,             0.02553,            0.016576,            0.021615,             0.76625,             0.74932,             0.79418,             0.50432,              0.0173,           0.0066561,           0.0069638,            0.009637,            0.009637,            0.009637
                  13,             0.02531,            0.016522,            0.021218,             0.76869,             0.78638,             0.82259,             0.52794,             0.01685,           0.0061177,           0.0063767,            0.009604,            0.009604,            0.009604
                  14,            0.024782,            0.016414,            0.020548,             0.80075,             0.79869,              0.8336,             0.52628,            0.016951,           0.0060118,           0.0054917,            0.009571,            0.009571,            0.009571
                  15,            0.024602,            0.016391,            0.019781,             0.79225,             0.77575,             0.82963,             0.53488,            0.016243,           0.0058635,           0.0058414,            0.009538,            0.009538,            0.009538
                  16,            0.024303,            0.016404,            0.019312,             0.78133,             0.75864,             0.80212,              0.5286,            0.016764,           0.0054902,           0.0057013,            0.009505,            0.009505,            0.009505
                  17,            0.024335,            0.016818,            0.019139,             0.80678,             0.79459,             0.82897,              0.5568,            0.016037,           0.0062056,           0.0043074,            0.009472,            0.009472,            0.009472
                  18,            0.024056,            0.016282,            0.018349,             0.78306,             0.81511,             0.82121,             0.54136,            0.016284,           0.0064485,           0.0053061,            0.009439,            0.009439,            0.009439
                  19,            0.024317,            0.016398,            0.017893,              0.8378,             0.77864,             0.84569,             0.56218,            0.015676,           0.0057528,           0.0044379,            0.009406,            0.009406,            0.009406
                  20,             0.02395,            0.016172,            0.017676,             0.84165,             0.80747,              0.8592,              0.5771,            0.015909,           0.0055495,            0.003902,            0.009373,            0.009373,            0.009373
                  21,            0.023864,            0.016099,            0.017488,             0.83555,             0.80069,             0.85132,             0.56378,            0.015675,           0.0056667,           0.0041462,             0.00934,             0.00934,             0.00934
                  22,            0.023584,            0.015952,            0.016895,             0.82611,             0.80262,             0.84881,              0.5696,            0.015889,           0.0056116,           0.0042455,            0.009307,            0.009307,            0.009307
                  23,            0.023454,            0.016006,            0.015991,             0.83891,             0.84103,             0.87031,             0.59095,            0.015034,           0.0052259,            0.003514,            0.009274,            0.009274,            0.009274
                  24,            0.023199,            0.015788,            0.015797,             0.85137,             0.78454,             0.85495,             0.57279,            0.015139,           0.0053082,           0.0042626,            0.009241,            0.009241,            0.009241
                  25,            0.023118,            0.016077,            0.016026,             0.85852,             0.81377,             0.87309,             0.58344,            0.015287,           0.0053016,           0.0031521,            0.009208,            0.009208,            0.009208
                  26,            0.022995,            0.015763,            0.015403,             0.86242,             0.81912,             0.87479,             0.58683,            0.015186,           0.0053618,           0.0035237,            0.009175,            0.009175,            0.009175
                  27,            0.023292,            0.015821,             0.01517,             0.86094,             0.78602,             0.85573,             0.58047,            0.015473,           0.0056384,           0.0030081,            0.009142,            0.009142,            0.009142
                  28,            0.023178,            0.015682,            0.014614,             0.86499,             0.82027,             0.86617,             0.58478,             0.01501,           0.0054211,           0.0033633,            0.009109,            0.009109,            0.009109
                  29,            0.022949,            0.015768,            0.014885,             0.81899,             0.83558,              0.8715,             0.60473,            0.014514,           0.0053026,           0.0034739,            0.009076,            0.009076,            0.009076
                  30,            0.022732,            0.015717,            0.014951,             0.83529,             0.82003,             0.85316,             0.58618,            0.014725,           0.0054857,           0.0032838,            0.009043,            0.009043,            0.009043
                  31,            0.022346,            0.015687,            0.014312,             0.82558,             0.82626,             0.87247,             0.60055,            0.014921,           0.0052563,           0.0031681,             0.00901,             0.00901,             0.00901
                  32,             0.02227,            0.015683,            0.014996,             0.84349,             0.83382,             0.88327,             0.61912,            0.014171,           0.0052715,           0.0030993,            0.008977,            0.008977,            0.008977
                  33,             0.02247,            0.015667,            0.014317,             0.85126,             0.84686,             0.88363,             0.60562,             0.01437,           0.0051513,           0.0032044,            0.008944,            0.008944,            0.008944
                  34,            0.022639,             0.01566,            0.014089,              0.8668,             0.80905,             0.86446,             0.60455,            0.014512,           0.0053693,           0.0030185,            0.008911,            0.008911,            0.008911
                  35,            0.022654,            0.015624,            0.013862,             0.86843,             0.82141,             0.87997,             0.60389,            0.014727,           0.0054327,           0.0028018,            0.008878,            0.008878,            0.008878
                  36,            0.021994,            0.015474,            0.013647,             0.86091,             0.83966,              0.8831,             0.61068,            0.014363,           0.0053524,            0.003146,            0.008845,            0.008845,            0.008845
                  37,             0.02206,            0.015377,            0.013779,             0.87078,             0.82488,             0.87662,              0.6097,            0.014666,           0.0054323,           0.0029964,            0.008812,            0.008812,            0.008812
                  38,            0.022543,            0.015822,            0.013595,              0.8433,             0.85072,             0.88399,              0.6185,            0.014271,           0.0052173,           0.0032092,            0.008779,            0.008779,            0.008779
                  39,            0.022085,            0.015367,            0.013306,             0.81705,             0.85584,             0.87073,             0.60858,            0.014318,            0.005231,           0.0026416,            0.008746,            0.008746,            0.008746
